tag,Summer 2005,Winter 2006,Summer 2006,Winter 2007,Summer 2007,Winter 2008,Summer 2008,Winter 2009,Summer 2009,Winter 2010,Summer 2010,Winter 2011,Summer 2011,Winter 2012,Summer 2012,Winter 2013,Summer 2013,Winter 2014,Summer 2014,Winter 2015,Summer 2015,Winter 2016,Summer 2016,Winter 2017,Summer 2017,Winter 2018,Summer 2018,Winter 2019,Summer 2019,Winter 2020,Summer 2020,Winter 2021,Summer 2021,Winter 2022,Summer 2022,Winter 2023,Summer 2023,Winter 2024,Summer 2024,Fall 2024,Winter 2025,Spring 2025,Summer 2025,Fall 2025,Winter 2026,Spring 2026,Summer 2026,Fall 2026,Winter 2027
Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,0.909,1.923,1.639,1.961,0.0,0.8,0.0,0.763,0.515,0.568,0.439,0.0,1.488,0.512,1.005,1.709,0.365,1.818,0.403,1.21,1.064,1.807,0.699,0.0,0.0,0.503,0.0,3.83,2.857,0.0
Energy Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.515,0.0,0.0,0.478,0.595,0.0,0.503,0.0,0.365,0.0,0.806,0.0,0.0,0.0,0.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enterprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,2.222,1.667,4.545,0.0,4.348,0.0,1.351,0.0,1.818,0.0,0.82,3.922,0.862,0.0,0.685,1.527,1.031,0.568,0.877,2.392,1.19,1.023,2.261,4.701,5.474,3.182,2.823,1.613,3.191,2.41,1.399,1.205,1.37,0.503,1.026,2.553,0.0,0.0
Enterprise Software,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,2.222,0.0,0.0,0.0,0.0,0.0,1.351,1.282,0.909,0.962,0.0,2.941,0.0,0.0,1.37,0.763,0.515,1.705,0.439,1.435,1.19,1.023,2.513,2.137,2.92,5.455,3.226,4.032,5.319,1.807,4.895,5.422,2.055,2.513,2.564,5.957,0.0,0.0
Entertainment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,2.41,0.0,0.0,0.0,0.0,0.0,0.962,1.639,0.98,0.862,1.6,1.37,2.29,0.0,1.136,1.754,2.392,0.298,0.512,1.759,0.427,0.73,0.909,1.613,0.806,0.0,0.602,0.0,0.0,1.37,0.0,0.0,0.851,0.0,0.0
Exascale Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
Fashion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,3.03,1.205,4.348,1.923,1.351,0.0,0.0,0.962,0.82,0.98,0.0,0.8,0.0,0.0,1.031,1.136,0.0,0.957,0.0,0.0,0.251,0.0,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feedback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.0,0.0,0.0,0.0,0.0,0.403,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Femtech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.0,0.251,0.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fertility Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.515,1.136,0.439,0.957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FinOps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0,0.0,0.962,0.0,0.0,0.0,0.0,0.0,0.763,0.0,0.0,0.439,0.0,0.893,1.535,0.754,0.855,1.46,0.455,0.0,0.806,0.0,1.807,0.0,0.0,0.685,0.503,0.0,0.0,0.0,0.0
Finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,1.205,0.0,0.0,0.0,0.0,0.0,0.962,0.82,0.0,1.724,0.8,0.0,0.763,1.546,1.705,2.193,0.478,0.893,1.279,1.256,1.282,4.38,2.273,2.016,4.435,3.191,2.41,0.699,1.205,3.425,1.005,0.513,4.681,2.857,0.0
Fintech,0.0,0.0,0.0,7.692,0.0,0.0,0.0,0.0,7.692,0.0,5.556,4.444,5.0,7.576,2.41,4.348,5.769,9.459,10.256,7.273,13.462,8.197,9.804,12.069,11.2,11.644,11.45,13.402,15.909,17.105,19.617,17.262,20.716,23.116,22.65,12.409,10.0,6.855,9.274,2.128,6.627,3.497,3.614,2.74,2.01,2.051,5.957,5.714,0.0
Fitness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,1.923,1.351,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.877,1.435,0.595,0.767,0.0,0.0,0.73,0.0,0.806,0.0,1.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763,1.031,0.0,0.0,0.0,0.595,0.256,0.251,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food & Beverage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,2.222,0.0,0.0,0.0,0.0,1.923,1.351,3.846,0.909,0.962,0.82,0.98,0.862,0.0,1.37,1.527,0.515,0.568,0.0,0.957,0.595,0.256,0.0,0.0,0.365,0.909,0.806,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,2.857,0.0
Food Service Robots & Machines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,1.923,0.0,0.0,0.862,0.8,0.685,0.0,0.0,0.0,0.0,0.0,0.298,0.512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,1.667,0.0,1.205,0.0,0.0,0.0,0.0,2.727,0.0,1.639,0.0,1.724,1.6,0.685,1.527,2.577,1.136,0.439,1.435,1.19,0.767,1.759,1.709,0.73,0.0,0.403,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0
Fraud Detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.82,0.0,0.0,0.0,0.0,0.763,0.0,0.0,0.0,0.0,0.0,0.256,0.0,0.855,0.73,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.0,0.0,0.0,0.0
Fraud Prevention,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.427,0.0,0.455,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fundraising,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furniture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.703,0.0,0.0,0.0,0.0,0.98,0.0,0.8,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fusion Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0
Gaming,0.0,0.0,10.0,7.692,0.0,9.524,0.0,0.0,0.0,0.0,2.778,4.444,1.667,4.545,1.205,0.0,0.0,2.703,3.846,0.0,0.962,1.639,0.0,0.0,4.0,2.74,2.29,3.608,2.273,1.316,1.914,1.488,0.512,2.261,2.137,0.73,0.909,0.403,1.21,0.0,0.0,0.699,0.0,1.37,0.0,1.026,1.702,0.0,0.0
Gardening,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene Therapy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,0.685,2.29,0.0,0.0,0.0,0.478,0.298,0.0,0.503,0.0,0.365,0.0,0.403,0.403,0.0,0.602,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
Generative AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0,0.909,0.0,0.0,0.0,0.862,1.6,2.055,2.29,1.031,2.273,1.754,3.349,1.488,3.581,3.266,9.402,17.883,13.182,7.661,10.081,6.383,9.639,2.797,2.41,6.164,1.005,0.0,4.255,0.0,0.0
Genetic Engineering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.513,0.0,0.0,0.0
Genomics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,0.0,0.0,0.82,0.98,1.724,1.6,0.0,1.527,2.577,1.705,1.316,0.478,0.0,0.767,0.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.426,0.0,0.0
Geographic Information System,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0,0.512,0.0,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.426,0.0,0.0
Ghost Kitchens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.763,0.0,0.0,0.439,0.478,0.595,1.023,0.0,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GovTech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,2.727,0.0,0.0,1.961,1.724,3.2,1.37,1.527,0.0,2.273,0.0,0.0,0.595,1.023,0.754,0.855,0.0,0.909,0.806,1.21,0.0,3.012,0.699,0.602,1.37,0.0,0.513,1.702,2.857,0.0
GraphQL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grocery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.0,1.205,0.0,0.0,0.0,0.0,0.0,0.0,0.82,1.961,0.862,0.0,0.685,1.527,0.515,1.705,1.316,0.478,1.19,1.279,0.251,0.427,0.365,0.909,0.0,0.0,0.0,0.0,0.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,1.205,2.174,0.0,0.0,1.282,1.818,3.846,0.82,0.0,2.586,0.8,0.685,1.527,1.031,1.136,1.316,1.914,1.488,1.79,1.759,1.709,1.46,1.818,0.806,1.21,1.064,1.807,0.0,0.0,0.685,0.0,0.513,0.426,2.857,0.0
Hard Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515,1.205,0.0,0.0,1.351,1.282,0.0,0.0,0.82,3.922,0.862,1.6,1.37,0.763,1.546,2.273,0.877,1.914,3.274,2.302,2.764,0.855,0.73,0.909,0.806,4.435,1.064,3.012,4.196,1.205,2.74,1.508,2.051,10.638,11.429,0.0
Hardware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,2.222,0.0,3.03,1.205,8.696,1.923,1.351,2.564,1.818,5.769,3.279,4.902,5.172,4.0,2.74,3.053,2.577,5.682,0.877,1.914,1.786,1.535,2.513,0.855,0.365,0.909,0.403,3.226,0.0,4.819,4.196,3.614,3.425,1.508,1.538,8.511,8.571,0.0
Health & Wellness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778,0.0,0.0,0.0,0.0,0.0,1.923,2.703,2.564,0.0,0.962,0.82,0.0,0.0,0.0,0.685,0.763,0.0,0.568,1.316,1.914,0.595,2.558,0.503,0.0,0.0,1.364,0.806,0.0,0.0,1.205,0.699,0.0,2.055,0.0,0.513,1.702,2.857,0.0
Health Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515,2.41,2.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,0.685,0.0,0.515,0.0,0.877,0.478,0.298,0.767,0.0,0.0,0.73,2.273,0.403,0.403,0.0,0.602,0.0,0.0,1.37,0.0,0.0,0.851,0.0,0.0
Health Tech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,1.667,0.0,2.41,2.174,1.923,2.703,5.128,2.727,3.846,3.279,3.922,6.034,3.2,4.795,1.527,3.093,2.841,4.825,3.349,2.381,2.302,3.015,3.419,3.65,5.455,2.419,2.419,4.255,4.217,2.098,0.0,4.795,0.0,0.0,2.128,0.0,0.0
Healthcare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222,1.667,3.03,1.205,4.348,0.0,0.0,1.282,3.636,2.885,0.0,7.843,6.034,3.2,2.74,6.107,1.031,2.273,3.509,3.828,3.274,3.581,4.774,3.419,4.745,9.091,5.242,3.629,5.319,3.614,4.196,0.602,3.425,0.503,0.513,4.681,0.0,0.0
Healthcare IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.685,0.0,0.0,0.568,0.0,0.478,1.19,0.256,0.503,0.855,0.365,4.091,0.403,0.403,2.128,1.205,0.699,1.205,1.37,0.0,0.513,0.851,0.0,0.0
Home Automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0
Home Services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.98,0.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.0,0.251,0.0,0.365,0.455,0.806,0.403,0.0,0.602,0.699,0.0,0.685,0.0,0.513,1.277,0.0,0.0
Housing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0,0.0,0.962,0.0,0.98,0.0,0.8,0.0,0.763,1.546,1.136,0.439,0.957,0.595,0.256,0.0,0.427,0.0,0.0,0.0,0.403,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.426,0.0,0.0
Human Resources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.205,0.0,0.0,0.0,1.282,0.0,1.923,0.0,0.0,0.0,0.0,2.055,0.0,0.515,0.568,0.439,0.0,0.893,0.256,0.503,0.855,0.0,0.0,0.0,0.806,0.0,0.0,0.0,0.0,0.0,0.0,0.513,0.0,2.857,0.0
Hydrogen Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.0,0.365,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Identity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.763,0.0,0.568,0.0,0.0,0.595,0.256,0.754,1.709,0.0,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.503,0.0,0.0,0.0,0.0
Immigration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403,0.0,0.602,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0
Income Share Agreements,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.515,0.0,0.0,0.0,0.298,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.962,0.82,0.98,1.724,4.8,0.685,1.527,1.031,1.705,3.07,0.0,0.893,0.0,1.005,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indoor Mapping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,0.0,0.763,0.0,0.568,0.0,0.0,0.0,0.256,0.251,0.0,0.0,0.0,0.806,2.016,0.0,1.807,2.797,1.807,2.055,0.0,0.0,3.83,0.0,0.0
Industrial Workplace Safety,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.515,0.568,0.0,0.0,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Infrastructure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,0.0,0.0,1.031,0.0,0.877,0.0,2.083,0.767,1.508,1.282,2.19,5.455,2.823,4.435,5.319,3.614,6.294,6.024,4.795,3.518,1.538,8.085,17.143,0.0
Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.923,3.279,0.0,1.724,4.8,2.055,0.0,1.546,1.136,0.877,0.478,1.488,0.767,2.513,2.137,1.095,0.909,2.016,2.016,1.064,1.807,1.399,1.205,0.0,0.503,1.026,2.553,5.714,100.0
International,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282,0.0,0.0,0.0,0.0,0.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.0,0.0,0.0,0.0,0.403,0.403,1.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing,0.0,0.0,0.0,0.0,5.263,0.0,0.0,0.0,0.0,0.0,0.0,2.222,0.0,0.0,2.41,2.174,0.0,1.351,1.282,2.727,1.923,0.0,0.0,2.586,0.8,0.685,0.763,1.031,0.568,0.877,0.0,0.298,1.279,1.508,0.855,1.825,0.455,1.21,1.21,1.064,0.602,0.699,1.205,0.685,0.0,0.513,3.404,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0,0.256,0.503,0.0,0.365,0.0,0.403,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.513,0.0,0.0,0.0
IoT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.846,0.0,0.0,0.0,1.667,3.03,0.0,2.174,1.923,4.054,3.846,1.818,0.0,2.459,2.941,4.31,0.8,0.0,2.29,2.577,0.0,0.439,0.957,0.893,0.256,0.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857,0.0
IoT Security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.0,0.0,0.0,0.0,0.0,0.0
Kids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.515,1.205,0.0,0.0,1.351,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439,0.957,0.298,0.256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kubernetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909,0.962,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.568,0.877,0.478,0.298,0.0,0.503,0.427,0.365,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0
Lab-on-a-chip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latin America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.685,0.763,0.515,1.705,1.316,0.957,0.893,0.256,0.0,0.855,0.0,0.455,0.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Legal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.0,0.0,0.0,3.846,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,1.37,0.763,0.515,0.568,0.0,0.0,0.595,0.0,0.503,0.427,0.365,1.364,1.21,2.016,1.064,3.012,1.399,0.0,2.055,0.0,0.0,0.851,2.857,0.0
LegalTech,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.0,0.0,4.348,0.0,0.0,1.282,0.0,3.846,0.0,0.98,0.0,0.0,0.685,0.763,2.062,0.568,0.439,0.957,1.19,0.512,0.754,1.282,0.73,0.909,1.21,2.823,1.064,1.807,0.699,0.602,2.74,0.0,0.0,1.277,0.0,0.0
